ID;Name Deutsch;Name Latein;Pflanzenfamilie;Jan;Feb;Mar;Apr;Mai;Jun;Jul;Aug;Sep;Okt;Nov;Dez;Wuchsform;rot;orange;gelb;grün;blau;violett;rosa;weiss;Funddatum
25;Feigenbaum;Ficus carica;Moraceae;0;0;1;1;1;0;0;0;0;0;0;0;Baumartiger Strauch;0;0;0;0;0;0;0;0;24.06.2026
26;Blasenesche;Koelreuteria paniculata;Sapindaceae;0;0;0;0;0;0;1;1;1;0;0;0;Baum;0;0;1;0;0;0;0;0;24.06.2026
27;Viermännige Tamariske;Tamarix tetrandra;Tamaricaceae;0;0;0;1;1;0;0;0;0;0;0;0;Strauch;0;0;0;0;0;0;1;0;02.05.2026
28;Mönchspfeffer;Vitex agnus-castus;Lamiaceae;0;0;0;0;0;0;0;0;1;1;0;0;Strauch;0;0;0;0;0;1;0;0;24.06.2026
29;Quittenbaum;Cydonia oblonga;Rosaceae;0;0;0;1;1;0;0;0;0;0;0;0;Baum;0;0;0;0;0;0;1;1;03.08.2026
38;Weidenblättriges Rindsauge;Buphthalmum salicifolium;Asteraceae;0;0;0;0;0;1;1;1;1;0;0;0;Staude;0;0;1;0;0;0;0;0;24.06.2026
41;Großköpfige Flockenblume;Centaurea macrocephala;Asteraceae;0;0;0;0;0;1;1;0;0;0;0;0;Staude;0;0;1;0;0;0;0;0;08.07.2026
42;Spornblume;Centranthus ruber Coccineus;Caprifoliaceae;0;0;0;0;1;1;1;1;0;0;0;0;Staude;1;0;0;0;0;0;0;0;17.05.2026
43;Wegwarte;Cichorium intybus;Asteraceae;0;0;0;0;0;0;1;1;1;0;0;0;Staude;0;0;0;0;1;0;0;0;24.06.2026
45;Wilde Karde;Dipsacus fullonum;Caprifoliaceae;0;0;0;0;0;0;1;1;0;0;0;0;Zweijähriges Kraut;0;0;0;0;0;0;1;0;08.07.2026
48;Karvinskis Berufkraut;Erigeron karvinskianus;Asteraceae;0;0;0;0;0;1;1;1;1;1;0;0;Staude;0;0;0;0;0;0;1;1;17.05.2026
49;Mittelmeer-Wolfsmilch;Euphorbia characias ssp. wulfenii;Euphorbiaceae;0;0;0;1;1;1;0;0;0;0;0;0;Halbstrauch;0;0;1;1;0;0;0;0;24.05.2026
50;Langhaariges Habichtskraut;Hieracium pilosella;Asteraceae;0;0;0;0;1;1;1;1;1;0;0;0;Staude;0;0;1;0;0;0;0;0;17.05.2026
54;Bisam-Malve;Malva moschata;Malvaceae;0;0;0;0;0;1;1;1;1;0;0;0;Staude;0;0;0;0;0;0;1;0;15.06.2026
56;Steinbrech-Felsennelke;Petrorhagia saxifraga;Caryophyllaceae;0;0;0;0;0;1;1;1;1;0;0;0;Staude;0;0;0;0;0;0;1;0;15.06.2026
58;Rotes Seifenkraut;Saponaria ocymoides;Caryophyllaceae;0;0;0;0;1;1;1;1;1;0;0;0;Staude;1;0;0;0;0;0;0;0;02.05.2026
59;Gelbe Skabiose;Scabiosa ochroleuca;Caprifoliaceae;0;0;0;0;0;1;1;1;1;0;0;0;Staude;0;0;1;0;0;0;0;0;15.06.2026
61;Syrisches Gliedkraut;Sideritis syriaca;Lamiaceae;0;0;0;0;0;1;1;1;0;0;0;0;Staude;0;0;1;0;0;0;0;0;02.05.2026
62;Rainfarn;Tanacetum vulgare;Asteraceae;0;0;0;0;0;1;1;1;1;0;0;0;Staude;0;0;1;0;0;0;0;0;27.07.2026
68;Rosmarin;Rosmarinus officinalis;Lamiaceae;0;0;1;1;1;1;1;1;1;1;0;0;Strauch;0;0;0;0;1;0;0;1;25.04.2026
69;Wein-Raute;Ruta graveolens;Rutaceae;0;0;0;0;0;1;1;0;0;0;0;0;Halbstrauch;0;0;1;0;0;0;0;0;24.05.2026
73;Gewürz-Thymian;Thymus vulgaris;Lamiaceae;0;0;0;0;1;1;1;0;0;0;0;0;Zwergstrauch;0;0;0;0;0;1;1;0;02.05.2026
74;Gelbe Schwertlilie;Iris pseudacorus;Iridaceae;0;0;0;0;0;1;0;0;0;0;0;0;Hydrophyt;0;0;1;0;0;0;0;0;28.03.2026
75;Raugras;Achnatherum calamagrostis;Poaceae;0;0;0;0;0;1;1;1;1;0;0;0;Staude;0;0;0;1;0;0;0;0;15.06.2026
85;Echter Dost;Origanum vulgare;Lamiaceae;0;0;0;0;0;0;1;1;1;0;0;0;Staude;0;0;0;0;0;0;1;0;08.07.2026
88;Persischer Ehrenpreis;Veronica persica;Plantaginaceae;0;1;1;1;1;1;1;1;1;1;0;0;Einjähriges Kraut;0;0;0;0;1;0;0;0;08.03.2026
89;Purpurrote Taubnessel;Lamium purpureum;Lamiaceae;0;0;1;1;1;1;1;1;1;1;0;0;Einjähriges Kraut;0;0;0;0;0;0;1;0;08.03.2026
90;Scharbockskraut;Ranunculus ficaria;Ranunculaceae;0;0;1;1;0;0;0;0;0;0;0;0;Staude;0;0;1;0;0;0;0;0;08.03.2026
91;Breitblättrige Traubenhyazinthe;Muscari latifolium ;Asparagaceae;0;0;0;1;1;0;0;0;0;0;0;0;Staude;0;0;0;0;1;1;0;0;29.03.2026
92;Sibirischer Blaustern;Scilla siberica;Asparagaceae;0;0;1;1;0;0;0;0;0;0;0;0;Staude;0;0;0;0;0;1;0;0;29.03.2026
93;Garten Hyazinthe;Hyacinthus orientalis;Asparagaceae;0;0;1;1;1;0;0;0;0;0;0;0;Staude;0;0;0;0;0;0;1;0;01.04.2026
94;Gewöhnlicher Löwenzahn;Taraxacum officinale aggr.;Asteraceae;0;0;0;1;1;0;0;0;0;0;0;0;Staude;0;0;1;0;0;0;0;0;06.04.2026
95;Gundelrebe;Glechoma hederacea L.;Lamiaceae;0;0;0;1;1;0;0;0;0;0;0;0;Staude;0;0;0;0;1;1;0;0;06.04.2026
96;Garten Tulpe;Tulipa gesneriana L.;Liliaceae;0;0;0;1;1;0;0;0;0;0;0;0;Staude;0;0;1;0;0;0;0;0;06.04.2026
97;Knolliger Hahnenfuss;Ranunculus bulbosus L.;Ranunculaceae;0;0;0;0;1;1;1;0;0;0;0;0;Staude;0;0;1;0;0;0;0;0;06.04.2026
98;Gänseblümchen;Bellis perennis L.;Asteraceae;0;1;1;1;1;1;1;1;1;1;1;0;Staude;0;0;1;0;0;0;0;1;06.04.2026
99;Damen-Tulpe;Tulipa clusiana DC.;Liliaceae;0;0;0;1;1;0;0;0;0;0;0;0;Staude;1;0;0;0;0;0;0;1;11.04.2026
100;Knoblauchhederich;Alliaria petiolata;Brassicaceae;0;0;0;1;1;1;0;0;0;0;0;0;Zweijähriges Kraut;0;0;0;0;0;0;0;1;11.04.2026
101;Kriechender Günsel;Ajuga reptans L.;Lamiaceae;0;0;0;1;1;1;1;0;0;0;0;0;Staude;0;0;0;0;1;0;0;0;25.04.2026
102;Leichtlin-Prärielilie;Camassia leichtlinii;Asparagaceae;0;0;0;0;1;1;0;0;0;0;0;0;Staude;0;0;0;0;0;1;0;0;25.04.2026
103;Futter-Wicke;Vicia sativa L.;Fabaceae;0;0;0;0;1;1;1;1;1;1;0;0;Einjähriges Kraut;0;0;0;0;0;1;1;0;25.04.2026
104;Reichstachelige Rose;Rosa spinosissima L.;Rosaceae;0;0;0;0;1;0;0;0;0;0;0;0;Strauch;0;0;1;0;0;0;0;1;25.04.2026
105;Wiesen-Margerite;Leucanthemum vulgare;Asteraceae;0;0;0;0;1;1;1;1;1;1;1;0;Staude;0;0;1;0;0;0;0;1;25.04.2026
106;Wolliger Schneeball;Viburnum lantana L.;Adoxaceae;0;0;0;0;1;0;0;0;0;0;0;0;Strauch;0;0;0;0;0;0;0;1;25.04.2026
107;Pyrenäen-Storchschnabel;Geranium pyrenaicum Burm. f.;Geraniaceae;0;0;0;0;1;1;1;1;0;0;0;0;Strauch;0;0;0;0;0;1;0;0;02.05.2026
108;Sibirische Schwertlilie;Iris sibirica L.;Iridaceae;0;0;0;0;0;1;0;0;0;0;0;0;Strauch;0;0;0;0;0;1;0;0;02.05.2026
109;Skabiosen-Flockenblume;Centaurea scabiosa L.;Asteraceae;0;0;0;0;0;1;1;1;0;0;0;0;Strauch;0;0;0;0;0;1;0;0;02.05.2026
110;Feld-Witwenblume;Knautia arvensis (L.) Coult.;Caprifoliaceae;0;0;0;0;1;1;1;1;1;0;0;0;Strauch;0;0;0;0;0;1;0;0;02.05.2026
111;Gemeine Akelei;Aquilegia vulgaris L.;Ranunculaceae;0;0;0;0;1;1;1;0;0;0;0;0;Strauch;0;0;0;0;0;1;0;0;02.05.2026
112;Weisser Mauerpfeffer;Sedum album L.;Crassulaceae;0;0;0;0;0;1;1;1;1;0;0;0;Sukkulente;0;0;0;0;0;0;0;1;02.05.2026
113;Gemeiner Schneeball;Viburnum opulus L.;Adoxaceae;0;0;0;0;1;1;0;0;0;0;0;0;Strauch;0;0;0;0;0;0;0;1;02.05.2026
114;Rote Heckenkirsche;Lonicera xylosteum L.;Caprifoliaceae;0;0;0;1;1;0;0;0;0;0;0;0;Strauch;0;0;0;0;0;0;0;1;02.05.2026
115;Färber-Waid;Isatis tinctoria L.;Brassicaceae;0;0;0;1;1;1;0;0;0;0;0;0;Zweijähriges Kraut;0;0;1;0;0;0;0;0;17.05.2026
116;Hopfenklee;Medicago lupulina L.;Fabaceae;0;0;0;0;1;1;1;1;1;0;0;0;Einjähriges Kraut;0;0;1;0;0;0;0;0;17.05.2026
117;Venuskamm;Scandix pecten-veneris L.;Apiaceae;0;0;0;0;1;1;0;0;0;0;0;0;Einjähriges Kraut;0;0;0;0;0;0;0;1;17.05.2026
118;Purgier-Kreuzdorn;Rhamnus cathartica L.;Rhamnaceae;0;0;0;0;1;0;0;0;0;0;0;0;Baumartiger Strauch;0;0;1;1;0;0;0;0;17.05.2026
119;Echte Salbei;Salvia officinalis L.;Lamiaceae;0;0;0;0;1;1;1;0;0;0;0;0;Halbstrauch;0;0;0;0;0;1;0;0;24.05.2026
120;Echte Nelkenwurz;Geum urbanum L.;Rosaceae;0;0;0;0;1;1;1;1;0;0;0;0;Staude;0;0;1;0;0;0;0;0;24.05.2026
121;Saat-Luzerne;Medicago sativa L.;Fabaceae;0;0;0;0;0;1;1;1;0;0;0;0;Staude;0;0;0;0;0;1;0;0;15.06.2026
122;Rapunzel-Glockenblume;Campanula rapunculus L.;Campanulaceae;0;0;0;0;1;1;1;0;0;0;0;0;Zweijähriges Kraut;0;0;0;0;0;1;0;1;15.06.2026
123;Echter Lavendel;Lavandula angustifolia Mill.;Lamiaceae;0;0;0;0;0;0;1;1;0;0;0;0;Halbstrauch;0;0;0;0;0;1;0;0;15.06.2026
124;Gemeiner Natterkopf;Echium vulgare L.;Boraginaceae;0;0;0;0;1;1;1;1;1;1;0;0;Zweijähriges Kraut;0;0;0;0;0;1;0;0;15.06.2026
125;Hunds-Rose;Rosa canina L.;Rosaceae;0;0;0;0;0;1;0;0;0;0;0;0;Strauch;0;0;1;0;0;0;1;1;24.06.2026
126;Bereifte Rose;Rosa glauca Pourr.;Rosaceae;0;0;0;0;0;1;1;0;0;0;0;0;Strauch;0;0;1;0;0;0;1;1;24.06.2026
127;Hagebuche;Carpinus betulus L.;Betulaceae;0;0;0;0;1;0;0;0;0;0;0;0;Baum;0;0;0;1;0;0;0;0;24.06.2026
128;Schwärzliche Flockenblume;Centaurea nigrescens Willd.;Asteraceae;0;0;0;0;0;1;1;1;1;0;0;0;Staude;0;0;0;0;0;1;0;0;24.06.2026
129;Gemeiner Liguster;Ligustrum vulgare L.;Oleaceae;0;0;0;0;1;1;1;0;0;0;0;0;Strauch;0;0;0;0;0;0;0;1;24.06.2026
130;Echtes Johanniskraut;Hypericum perforatum L.;Hypericaceae;0;0;0;0;0;1;1;1;1;0;0;0;Halbstrauch;0;0;1;0;0;0;0;0;24.06.2026
131;Sal-Weide;Salix caprea L.;Salicaceae;0;0;1;1;1;0;0;0;0;0;0;0;Baum;0;0;0;1;0;0;0;0;24.06.2026
132;Kleiner Odermennig;Agrimonia eupatoria L.;Rosaceae;0;0;0;0;0;1;1;1;1;0;0;0;Staude;0;0;1;0;0;0;0;0;24.06.2026
133;Kleinköpfiger Pippau;Crepis capillaris Wallr.;Asteraceae;0;0;0;0;0;1;1;1;1;0;0;0;Einjähriges Kraut;0;0;1;0;0;0;0;0;27.07.2026
134;Wilde Möhre;Daucus carota L.;Apiaceae;0;0;0;0;0;1;1;1;0;0;0;0;Zweijähriges Kraut;0;0;0;0;0;0;0;1;24.06.2026
135;Kleinblütige Bergminze;Clinopodium nepeta;Lamiaceae;0;0;0;0;0;0;1;1;1;0;0;0;Staude;0;0;0;0;0;0;1;1;27.07.2026
136;Pastinak;Pastinaca sativa L.;Apiaceae;0;0;0;0;0;0;1;1;0;0;0;0;Zweijähriges Kraut;0;0;1;0;0;0;0;0;27.07.2026
137;Schwarznessel;Ballota nigra L.;Lamiaceae;0;0;0;0;0;1;1;1;0;0;0;0;Staude;0;0;0;0;0;1;1;0;27.07.2026
138;Kleine Klette;Arctium minus Bernh.;Asteraceae;0;0;0;0;0;0;0;0;0;0;0;0;Zweijähriges Kraut;0;0;0;1;0;1;0;0;27.07.2026
139;Gewöhnliches Bitterkraut;Picris hieracioides L.;Asteraceae;0;0;0;0;0;0;1;1;1;1;0;0;Zweijähriges Kraut;0;0;1;0;0;0;0;0;27.07.2026
140;Einjähriges Berufkraut;Erigeron annuus (L.) Desf.;Asteraceae;0;0;0;0;0;1;1;1;1;1;0;0;Einjähriges Kraut;0;0;1;0;0;0;0;1;27.07.2026
141;Weisse Lichtnelke;Silene latifolia;Caryophyllaceae;0;0;0;0;0;1;1;1;1;0;0;0;Staude;0;0;0;0;0;0;0;1;27.07.2026
142;Echter Honigklee;Melilotus officinalis Lam.;Fabaceae;0;0;0;0;0;1;1;1;1;1;0;0;Zweijähriges Kraut;0;0;1;0;0;0;0;0;27.07.2026
143;Ährige Minze;Mentha spicata aggr.;Lamiaceae;0;0;0;0;0;0;1;1;1;0;0;0;Staude;0;0;0;0;0;0;0;1;27.07.2026
144;Straucheibisch;Hibiscus syriacus L.;Malvaceae;0;0;0;0;0;0;1;1;1;0;0;0;Strauch;0;0;0;0;0;1;1;0;24.06.2026
145;Gemeines Pfaffenhütchen;Euonymus europaeus L.;Celastraceae;0;0;0;0;1;1;1;0;0;0;0;0;Strauch;0;0;0;0;0;0;0;1;24.06.2026
146;Schwarzer Holunder;Sambucus nigra L.;Adoxaceae;0;0;0;0;1;1;0;0;0;0;0;0;Strauch;0;0;0;0;0;0;0;1;24.06.2026
147;Kornelkirsche;Cornus mas L.;Cornaceae;0;0;1;0;0;0;0;0;0;0;0;0;Baumartiger Strauch;0;0;1;0;0;0;0;0;24.06.2026
148;Faulbaum;Frangula alnus Mill.;Rhamnaceae;0;0;0;0;1;1;0;0;0;0;0;0;Baumartiger Strauch;0;0;1;1;0;0;0;0;24.06.2026
149;Alpen-Johannisbeere;Ribes alpinum L.;Grossulariaceae;0;0;0;1;1;1;0;0;0;0;0;0;Strauch;0;0;1;1;0;0;0;0;24.06.2026
151;Himalaya-Zeder (Golden Horizon);Cedrus deodara;Pinaceae;0;0;0;0;0;0;0;0;1;1;0;0;Baum;1;0;1;0;0;0;0;0;03.08.2026
152;Kamminze;Elsholtzia ciliata;Lamiaceae;0;0;0;0;0;0;1;1;1;1;0;0;Einjähriges Kraut;0;0;0;0;0;1;1;0;03.08.2026
153;Roter Holunder;Sambucus racemosa L.;Adoxaceae;0;0;0;1;1;0;0;0;0;0;0;0;Strauch;0;0;1;1;0;0;0;0;03.08.2026
154;Raue Nelke;Dianthus armeria L.;Caryophyllaceae;0;0;0;0;0;1;1;1;0;0;0;0;Zweijähriges Kraut;0;0;0;0;0;0;1;0;03.08.2026
155;Gemeiner Beifuss;Artemisia vulgaris L.;Asteraceae;0;0;0;0;0;0;1;1;1;0;0;0;Staude;0;0;1;0;0;0;0;0;03.08.2026
156;Schabenkraut;Verbascum blattaria L.;Scrophulariaceae;0;0;0;0;0;1;1;1;0;0;0;0;Zweijähriges Kraut;0;0;1;0;0;0;0;0;03.08.2026
157;Damascener-Portlandrose;Rosa Jacques Cartier;Rosaceae;0;0;0;0;0;1;1;1;1;0;0;0;Strauch;0;0;0;0;0;0;1;0;15.06.2026
159;Reichstachelige Rose;Rosa spinosissima L.;Rosaceae;0;0;0;0;1;0;0;0;0;0;0;0;Strauch;0;0;1;0;0;0;0;1;24.06.2026
